data   10011,       10012,       10013,       10014,       10015,       10016,       10017,       10018,       10019,       10020,
$        rpm,   frequency,     damping,        real,        imag,       color,  freq conv.,
  0.0000E+00,  6.4795E+02, -1.0497E-02, -4.2736E+01,  4.0712E+03,  3.0000E+00,  5.6794E+02,  3.0000E+00,  4.0712E+03, -4.2736E+01,
  5.0000E+03,  6.5128E+02, -9.2976E-03, -3.8047E+01,  4.0921E+03,  3.0000E+00,  5.6794E+02,  3.0000E+00,  4.0712E+03, -4.2736E+01,
  1.0000E+04,  6.5459E+02, -8.1113E-03, -3.3361E+01,  4.1129E+03,  3.0000E+00,  4.8792E+02,  3.0000E+00,  4.1130E+03, -3.3358E+01,
  1.5000E+04,  6.5787E+02, -6.9381E-03, -2.8679E+01,  4.1335E+03,  3.0000E+00,  4.0787E+02,  3.0000E+00,  4.1335E+03, -2.8678E+01,
  2.0000E+04,  6.6114E+02, -5.7781E-03, -2.4003E+01,  4.1540E+03,  3.0000E+00,  3.2780E+02,  3.0000E+00,  4.1540E+03, -2.4002E+01,
  2.5000E+04,  6.6438E+02, -4.6311E-03, -1.9332E+01,  4.1744E+03,  3.0000E+00,  2.4771E+02,  3.0000E+00,  4.1744E+03, -1.9331E+01,
  3.0000E+04,  6.6759E+02, -3.4970E-03, -1.4668E+01,  4.1946E+03,  3.0000E+00,  1.6759E+02,  3.0000E+00,  4.1946E+03, -1.4668E+01,
  3.5000E+04,  6.7078E+02, -2.3757E-03, -1.0013E+01,  4.2147E+03,  3.0000E+00,  8.7448E+01,  3.0000E+00,  4.2147E+03, -1.0012E+01,
  4.0000E+04,  6.7395E+02, -1.2670E-03, -5.3652E+00,  4.2345E+03,  3.0000E+00,  7.2806E+00,  3.0000E+00,  4.2345E+03, -5.3645E+00,
  4.5000E+04,  6.7709E+02, -1.7093E-04, -7.2719E-01,  4.2543E+03,  3.0000E+00,  7.2912E+01,  3.0000E+00,  4.2543E+03, -7.2645E-01,
  5.0000E+04,  6.8020E+02,  9.1273E-04,  3.9009E+00,  4.2739E+03,  3.0000E+00,  1.5313E+02,  3.0000E+00,  4.2739E+03,  3.9016E+00,
  5.5000E+04,  6.8329E+02,  1.9841E-03,  8.5183E+00,  4.2933E+03,  3.0000E+00,  2.3337E+02,  3.0000E+00,  4.2933E+03,  8.5190E+00,
  6.0000E+04,  6.8636E+02,  3.0434E-03,  1.3125E+01,  4.3125E+03,  3.0000E+00,  3.1364E+02,  3.0000E+00,  4.3125E+03,  1.3125E+01,
  6.5000E+04,  6.8939E+02,  4.0906E-03,  1.7719E+01,  4.3316E+03,  3.0000E+00,  3.9394E+02,  3.0000E+00,  4.3316E+03,  1.7720E+01,
  7.0000E+04,  6.9241E+02,  5.1261E-03,  2.2301E+01,  4.3505E+03,  3.0000E+00,  4.7426E+02,  3.0000E+00,  4.3505E+03,  2.2302E+01,
  7.5000E+04,  6.9539E+02,  6.1499E-03,  2.6870E+01,  4.3693E+03,  3.0000E+00,  5.5461E+02,  3.0000E+00,  4.3693E+03,  2.6871E+01,
  8.0000E+04,  6.9835E+02,  7.1622E-03,  3.1427E+01,  4.3878E+03,  3.0000E+00,  6.3499E+02,  3.0000E+00,  4.3878E+03,  3.1427E+01,
  8.5000E+04,  7.0128E+02,  8.1632E-03,  3.5969E+01,  4.4062E+03,  3.0000E+00,  7.1539E+02,  3.0000E+00,  4.4062E+03,  3.5969E+01,
  9.0000E+04,  7.0418E+02,  9.1530E-03,  4.0497E+01,  4.4245E+03,  3.0000E+00,  7.9582E+02,  3.0000E+00,  4.4245E+03,  4.0498E+01,
  9.5000E+04,  7.0705E+02,  1.0132E-02,  4.5011E+01,  4.4426E+03,  3.0000E+00,  8.7628E+02,  3.0000E+00,  4.4426E+03,  4.5012E+01,
  1.0000E+05,  7.0990E+02,  1.1100E-02,  4.9511E+01,  4.4604E+03,  3.0000E+00,  9.5677E+02,  3.0000E+00,  4.4604E+03,  4.9511E+01,
  1.0500E+05,  7.1272E+02,  1.2057E-02,  5.3995E+01,  4.4782E+03,  3.0000E+00,  1.0373E+03,  3.0000E+00,  4.4782E+03,  5.3996E+01,
  1.1000E+05,  7.1552E+02,  1.3004E-02,  5.8465E+01,  4.4957E+03,  3.0000E+00,  1.1178E+03,  3.0000E+00,  4.4957E+03,  5.8465E+01,
  1.1500E+05,  7.1828E+02,  1.3941E-02,  6.2919E+01,  4.5131E+03,  3.0000E+00,  1.1984E+03,  3.0000E+00,  4.5131E+03,  6.2919E+01,
  1.2000E+05,  7.2102E+02,  1.4868E-02,  6.7357E+01,  4.5303E+03,  3.0000E+00,  1.2790E+03,  3.0000E+00,  4.5303E+03,  6.7357E+01,
  1.2500E+05,  7.2373E+02,  1.5785E-02,  7.1780E+01,  4.5473E+03,  3.0000E+00,  1.3596E+03,  3.0000E+00,  4.5473E+03,  7.1780E+01,
  1.3000E+05,  7.2642E+02,  1.6692E-02,  7.6187E+01,  4.5642E+03,  3.0000E+00,  1.4403E+03,  3.0000E+00,  4.5642E+03,  7.6187E+01,
  1.3500E+05,  7.2907E+02,  1.7590E-02,  8.0578E+01,  4.5809E+03,  3.0000E+00,  1.5209E+03,  3.0000E+00,  4.5809E+03,  8.0578E+01,
  1.4000E+05,  7.3170E+02,  1.8479E-02,  8.4954E+01,  4.5974E+03,  3.0000E+00,  1.6016E+03,  3.0000E+00,  4.5974E+03,  8.4954E+01,
  1.4500E+05,  7.3430E+02,  1.9358E-02,  8.9313E+01,  4.6138E+03,  3.0000E+00,  1.6824E+03,  3.0000E+00,  4.6138E+03,  8.9313E+01,
